service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000352019101920200626,0,0,0,0,0,0,0,20191019,20200626
0000000392019091220200626,0,1,0,1,0,1,0,20190912,20200626
0000000392019100220200626,0,1,0,1,0,1,0,20191002,20200626
0000000402019091220200626,0,0,0,0,1,0,0,20190912,20200626
0000000402019102820200626,0,0,0,0,1,0,0,20191028,20200626
0000000412019091220200626,0,0,1,0,0,0,0,20190912,20200626
0000000502019091220200626,0,0,0,1,0,0,0,20190912,20200626
0000000502019101420200626,0,0,0,1,0,0,0,20191014,20200626
0000000822019091220200626,0,0,0,0,0,1,0,20190912,20200626
0000000822019092020200626,0,0,0,0,0,1,0,20190920,20200626
0000000822019092120200626,0,0,0,0,0,1,0,20190921,20200626
0000000822019101920200626,0,0,0,0,0,1,0,20191019,20200626
0000000822019102220200626,0,0,0,0,0,1,0,20191022,20200626
0000000822019102820200626,0,0,0,0,0,1,0,20191028,20200626
0000004512019091220191214,0,0,0,0,0,1,0,20190912,20191214
0000004512019091220200610,0,0,0,0,0,1,0,20190912,20200610
0000004512019091220200626,0,0,0,0,0,1,0,20190912,20200626
0000004512019091920200626,0,0,0,0,0,1,0,20190919,20200626
0000004512019100820200626,0,0,0,0,0,1,0,20191008,20200626
0000004512019101920200626,0,0,0,0,0,1,0,20191019,20200626
0000004512019102820200626,0,0,0,0,0,1,0,20191028,20200626
0000004512019112420191208,0,0,0,0,0,1,0,20191124,20191208
0000004512019121520200626,0,0,0,0,0,1,0,20191215,20200626
0000004512019122120200329,0,0,0,0,0,1,0,20191221,20200329
0000004512019122220200329,0,0,0,0,0,1,0,20191222,20200329
0000005552019091220200626,0,1,1,0,1,0,0,20190912,20200626
0000005902019091220200626,1,1,1,1,1,0,0,20190912,20200626
0000005902019100820200626,1,1,1,1,1,0,0,20191008,20200626
0000005902019102820200626,1,1,1,1,1,0,0,20191028,20200626
0000005902019122420200305,1,1,1,1,1,0,0,20191224,20200305
0000005902020060920200621,1,1,1,1,1,0,0,20200609,20200621
0000006202019120820200329,1,1,1,1,1,1,0,20191208,20200329
0000006202019120820200331,1,1,1,1,1,1,0,20191208,20200331
0000006212019120820200329,0,0,0,0,0,0,1,20191208,20200329
0000006212019120820200331,0,0,0,0,0,0,1,20191208,20200331
0000006222019120820200331,1,1,1,1,1,0,0,20191208,20200331
0000006232019120820200331,0,0,0,0,0,1,0,20191208,20200331
0000006262019091220200626,0,1,0,0,1,0,0,20190912,20200626
0000006272019091220200626,0,1,0,0,0,0,0,20190912,20200626
0000006272019102820200626,0,1,0,0,0,0,0,20191028,20200626
0000006362019091220200626,0,0,0,0,1,0,0,20190912,20200626
0000006372019091220200626,1,1,1,1,0,0,0,20190912,20200626
0000006372019092120200626,1,1,1,1,0,0,0,20190921,20200626
0000006462019091220200626,0,0,0,0,0,1,0,20190912,20200626
0000006462019102820200626,0,0,0,0,0,1,0,20191028,20200626
0000006512019101420200626,1,0,0,0,0,0,0,20191014,20200626
0000006532019091220200626,1,0,0,1,0,0,0,20190912,20200626
0000006532019092020200626,1,0,0,1,0,0,0,20190920,20200626
