route_id,trip_id,service_id
1001,1,23
1001,10,23
1001,100,24
1011,1000,46
1011,1001,46
1011,1002,46
1011,1003,46
1011,1004,46
1011,1005,46
1011,1006,46
1011,1007,46
1011,1008,46
1011,1009,46
1001,101,24
1011,1010,46
1011,1011,46
1011,1012,46
1011,1013,46
1011,1014,46
1011,1015,46
1011,1016,46
1011,1017,46
1011,1018,46
1011,1019,46
1001,102,24
1011,1020,46
1011,1021,46
1011,1022,46
1011,1023,46
1011,1024,46
1011,1025,46
1011,1026,46
1011,1027,46
1011,1028,46
1011,1029,46
1001,103,24
1011,1030,46
1011,1031,46
1011,1032,46
1011,1033,46
1011,1034,46
1011,1035,46
1011,1036,46
1011,1037,46
1011,1038,46
1011,1039,23
1001,104,24
1011,1040,46
1012,1041,23
1012,1042,23
1012,1043,23
1012,1044,23
1012,1045,23
1012,1046,23
1012,1047,23
1012,1048,23
1012,1049,23
1001,105,24
1012,1050,23
1012,1051,23
1012,1052,23
1012,1053,23
1012,1054,23
1012,1055,23
1012,1056,23
1012,1057,23
1012,1058,23
1012,1059,23
1001,106,24
1012,1060,23
1012,1061,23
1012,1062,23
1012,1063,23
1012,1064,23
1012,1065,23
1012,1066,24
1012,1067,24
1012,1068,24
1012,1069,24
1001,107,24
1012,1070,24
1012,1071,24
1012,1072,24
1012,1073,24
1012,1074,24
1012,1075,24
1012,1076,24
1012,1077,24
1012,1078,24
1012,1079,24
1001,108,24
1012,1080,24
1012,1081,24
1012,1082,24
1012,1083,24
1012,1084,24
1012,1085,24
1012,1086,24
1012,1087,24
1012,1088,24
1012,1089,24
1001,109,46
1012,1090,24
1012,1091,46
1012,1092,46
1012,1093,46
1012,1094,46
1012,1095,46
1012,1096,46
1012,1097,46
1012,1098,46
1012,1099,46
1001,11,23
1001,110,46
1012,1100,46
1012,1101,46
1012,1102,46
1012,1103,46
1012,1104,46
1012,1105,46
1012,1106,46
1012,1107,46
1012,1108,46
1012,1109,46
1001,111,46
1012,1110,46
1012,1111,46
1012,1112,46
1012,1113,46
1012,1114,46
1012,1115,46
1014,1116,21
1014,1117,21
1014,1118,21
1014,1119,21
1001,112,46
1014,1120,21
1014,1121,21
1014,1122,21
1014,1123,21
1014,1124,21
1014,1125,21
1014,1126,21
1014,1127,21
1014,1128,21
1014,1129,21
