"stop_id","stop_name","stop_lat","stop_lon","stop_code","stop_desc","zone_id","wheelchair_boarding"
4540,"Viarago Bivio Cittadella",46.085408,11.276139,"4121BC",,"4112",
4542,"Lavis-Stazione Fs",46.148219,11.096322,"1010FS",,"1010",
4543,"Mezzocorona-Trenitalia",46.207494,11.128484,"6100FF",,"6110",
4612,"Sorne-Stalla",45.810269,10.953964,"3413ST",,"3413",
4613,"Sorne-Troticoltura",45.806259,10.952151,"3413TC",,"3413",
4616,"Povo Via Mesiano",46.064943,11.141679,"3713ME",,"4005",
4640,"Campo Tassullo",46.331168,11.052569,"6210CT",,"6210",
4653,"Fraveggio Bivio Loc.Castin",46.077934,10.994306,"2041BC",,"2040",
4664,"Nomi-Sp 90 Tre.Cur.T.",45.935963,11.088317,"3105SO",,"3105",
4666,"Moena-Via Lowy 14-16",46.375484,11.65783,"1250LO",,"1250",
4670,"Breguzzo-Loc. Fass Civ. 210",46.010733,10.701301,"2293FS",,"2293",
4671,"Brusago-Via D.Alighieri 12",46.178452,11.324666,"4060AL",,"4060",
4679,"Pergine Vals.-Sc.Garbari",46.066251,11.229915,"4100AM",,"4100",
4684,"Folgaria-Via Filzi 41",45.911216,11.180988,"3045SG",,"3045",
4686,"Malosco Via Fanch",46.434784,11.142386,"6590FA",,"6590",
4687,"Cembra-Loc. Predole 23/2",46.169154,11.209925,"1078PD",,"1078",
4688,"Livo-Sp 6 Al Km 6",46.432701,11.019009,"6720SP",,"6720",
4691,"Pranzo-Ex Cabina Enel",45.921668,10.820718,"2176EN",,"2189",
4695,"Segno-V.Nazionaletrentingrana",46.299073,11.0696,"6180NA",,"6170",
4697,"Zambana-Statale 12-Rotatoria",46.152359,11.101232,"0942RR",,"1010",
4699,"Taio Fraz. Torra Via S.Eusebio",46.301812,11.080325,"6190TO",,"6180",
4701,"Terres Loc. Tresenga",46.320236,11.014463,"6155BI",,"6155",
4702,"Segno Piazza E.Chini",46.306283,11.075495,"6180PC",,"6180",
4704,"Villazzano Fs-P/Golfi Urbani",46.044756,11.13969,"3711",,"0001",
4708,"Pergine-V.Marconi C.Riposo",46.06477,11.242578,"4100CS",,"4100",
4709,"Pergine-V.Marconi Itea",46.066114,11.246563,"4100IT",,"4100",
4710,"Pergine-V.Marconi Itea",46.066279,11.246854,"4100IR",,"4100",
4716,"Passo Cereda Ss 347 Km7.2",46.191933,11.896861,"5143SS",,"5143",
4720,"Malè Scuola Elementare",46.351617,10.91512,"6300SE",,"6300",
4721,"Rovereto-Ist. Veronesi",45.891286,11.034323,"3100IP",,"3100",
4722,"Tres Via Nazionale 33/24",46.32267,11.092418,"6191NA",,"6191",
4724,"Brustolotti",45.755971,11.016397,"3335",,"3335",
4725,"Muravalle",45.747909,11.038053,"3336",,"3336",
4726,"Ronchi di Ala",45.738932,11.065749,"3337",,"3337",
4729,"Calieri",45.742258,11.057554,"3336CA",,"3336",
4730,"Ala-Via Perlè",45.758767,11.006905,"3346PE",,"3346",
4734,"Tassullo-Scuola Materna",46.334844,11.051888,"6210MA",,"6210",
4735,"Riva Del G Vle Dante Alighieri",45.886255,10.844525,"0960DA",,"0960",
4737,"Riva D/Garda Viale Dei Tigli 8",45.890465,10.843014,"0960TG",,"0960",
4738,"Arco Via Battisti 4",45.918381,10.882459,"3520BA",,"3520",
4739,"Brione Campeggio",45.881511,10.861791,"0960CA",,"0960",
4740,"Riva V.Rovereto/Pascoli 3",45.884957,10.849147,"0960RP",,"0960",
4741,"Arco Via Mantova Cimitero",45.911666,10.881381,"3520CM",,"3520",
4742,"Riva V.Rovereto/Pascoli",45.885012,10.849033,"0960PR",,"0960",
4743,"Riva V.Rovereto Dif. Coop",45.881612,10.854462,"0960OR",,"0960",
4745,"Brione Campeggio",45.881518,10.861895,"0960AR",,"0960",
4746,"Arco Via Mantova Dif.Cimitero",45.911738,10.881409,"3520MR",,"3520",
4747,"Riva D/Garda V.Le Dei Tigli 11",45.890639,10.842853,"0960IR",,"0960",
4748,"Pavillo-Via De Le Bas Cere",46.329184,11.042764,"6214BA",,"6210",
4749,"Riva Del G Vle Dante Alighieri",45.886213,10.844356,"0960AD",,"0960",
4758,"Riva Del G. Via E. Modl",45.893901,10.852615,"0960NV",,"0960",
4765,"Riva Del G. Via Oleandri 24",45.899534,10.844359,"2228OL",,"0960",
4780,"Vestone",45.70811,10.403516,"2330",,"2330",
4781,"Lavenone",45.738956,10.437543,"2332",,"2332",
4782,"Idro",45.734609,10.458099,"2334",,"2334",
4783,"Anfo",45.76624,10.492104,"2336",,"2336",
4786,"Loc. Ferri",45.740039,11.061804,"3337FE",,"3337",
4788,"Ala Via Fornace",45.757754,11.011794,"3346FO",,"3346",
4791,"Covelo Via Villa Bassa",46.098486,11.022229,"2022VB",,"2023",
4793,"Facendi V.S.Antonio-Capitello",46.22146,11.317781,"1123SA",,"1123",
4796,"Costasavina Via S.Martino",46.061224,11.220028,"4138MA",,"4137",
4797,"Costasavina Via S.Martino 27",46.060993,11.224454,"4138SM",,"4137",
4798,"Costasavina Via S.Martino 27",46.060818,11.224666,"4138SR",,"4137",
4801,"Coredo-Segheria Biasi",46.351546,11.098083,"6501SE",,"6501",
4802,"Trento Forte Bus De Vela",46.084939,11.070058,"0001PL",,"2010",
4805,"Segno Via Sonora Civ. 34",46.304725,11.07206,"6180CO",,"6180",
4806,"Denno Via Colle Verde",46.272809,11.048208,"6151CV",,"6151",
4809,"Aldeno-Maso Canova Sud",45.960076,11.092721,"3640SU",,"3640",
4810,"Chiesurone di Pilcante",45.787117,11.012143,"3356KA",,"3356",
4812,"Carpeneda-Acquedotto",45.916728,11.149958,"3044AC",,"3044",
4813,"Rovereto-Stazione Trenitalia",45.89182,11.034136,"3100PI",,"3100",
4814,"Serravalle Via G.Cantore 56",45.80669,11.017468,"3342SR",,"3342",
4817,"Carano Via Carano 79",46.290832,11.44906,"1150CA",,"1070",
4824,"Vestone-Loc. Capparola",45.714637,10.41293,"2330CA",,"2330",
4825,"Lavenone-Via Nazionale",45.724764,10.428774,"2332NA",,"2332",
4826,"Lavenone-Zona Industriale",45.731256,10.434312,"2332ZI",,"2332",
4827,"Idro-Loc. Tre Capitelli",45.751515,10.479574,"2334CA",,"2334",
4828,"Anfo-S.P. Km. 50.7",45.788633,10.500408,"2336SP",,"2336",
4829,"Anfo-Locanda Loc. S.Antonio",45.799373,10.503631,"2336SA",,"2336",
4830,"Loc. San Giacomo'Pizzeria'",45.808932,10.509783,"2322SG",,"2323",
4831,"Ponte Caffaro-Via Caduti",45.81987,10.524535,"2322TB",,"2323",
4832,"Ponte Caffaro-Via Caduti 214",45.825015,10.53016,"2322CA",,"2323",
4834,"Vaneze-Via Del Lavachel",46.055447,11.072394,"2640LA",,"2640",
4835,"Loc. San Giacomo",45.813054,10.515905,"2322GC",,"2323",
4844,"Taio Via Roma. 59 E 62",46.317107,11.069215,"6190RM",,"6190",
4845,"Taio Via Roma. 122",46.315062,11.069839,"6190RO",,"6190",
4847,"S.Barbara",45.896161,10.940914,"3390",,"3389",
4850,"Imer Via Meatoli",46.148666,11.796557,"5110VF",,"5110",
4852,"Villini-Via Mendola 5",46.417827,11.195583,"6630VL",,"6630",
4853,"Gosaldo",46.221615,11.954571,"5258",,"5258",
4854,"Saresin",46.206658,11.938458,"5261",,"5261",
4856,"Castelletto 'Ponte Rinassico'",46.247843,11.062196,"6128RA",,"6123",
4857,"Centa Fraz. Valle",45.964834,11.232628,"3790VA",,"3790",
4858,"Centa Fraz. Conci",45.97435,11.244435,"3790MC",,"3790",
4859,"Canale-Via Delle Stonfe",46.048812,11.233387,"4129SO",,"4100",
4861,"Premione-Via Alla Closura",46.048034,10.871479,"2212CL",,"2212",
4862,"Predazzo-Loc. Fol",46.32233,11.597912,"1220FO",,"1220",
4863,"Preghena-Sp 68 Bivio",46.407458,11.011754,"6720BV",,"6720",
4865,"Croviana-Via Nazionale 174",46.341182,10.900305,"6310NA",,"6310",
4867,"Canè",46.119116,11.260806,"4038",,"4038",
4868,"Fiorè",46.12068,11.265439,"4037",,"4038",
4870,"Tres Via Nazionale 12",46.320661,11.093017,"6191SE",,"6191",
4871,"Romeno-Via S.Romedio",46.391671,11.117453,"6550RM",,"6550",
4874,"S.Martino di C.-Via Pezgaiard",46.259358,11.808829,"0961PZ",,"0961",
4879,"Tezze-V. Masetto Vecchio",45.997899,11.668582,"4457MA",,"4457",
4880,"Mezzolombardo-Bivio Fai",46.223117,11.081667,"6120BF",,"6120",
4881,"Rovereto Via S.Giovanni Bosco",45.891524,11.041678,"3100GB",,"3100",
4882,"Campi Loc.Zumiani",45.91319,10.816147,"2178ZU",,"2189",
4886,"Bordiana",46.387216,10.98198,"6239",,"6240",
4889,"Zencheri",45.881653,11.157535,"3209ZE",,"3209",
4891,"Lamar-Ponte Avisio",46.13463,11.110901,"0938PO",,"0937",
4893,"Malgolo-Via Al Castello 6",46.384563,11.094848,"6530CA",,"6530",
4894,"Valda-Via Centrale 25",46.210886,11.27248,"1080EL",,"1080",
