"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
5.2019102420200624E16,1,1,1,1,1,1,0,20191024,20200626
5.2019102820200624E16,1,1,1,1,1,1,0,20191028,20200626
5.2019111120200624E16,1,1,1,1,1,1,0,20191111,20200626
5.2019111220200624E16,1,1,1,1,1,1,0,20191112,20200626
5.2019112520200624E16,1,1,1,1,1,1,0,20191125,20200626
6.201909122019112E16,1,1,1,1,1,0,0,20190912,20191117
6.2019091220200624E16,1,1,1,1,1,0,0,20190912,20200626
6.2019091820200624E16,1,1,1,1,1,0,0,20190918,20200626
6.2019091920200624E16,1,1,1,1,1,0,0,20190919,20200626
6.2019092020200624E16,1,1,1,1,1,0,0,20190920,20200626
6.2019092120200624E16,1,1,1,1,1,0,0,20190921,20200626
6.2019100820200624E16,1,1,1,1,1,0,0,20191008,20200626
6.2019101420200624E16,1,1,1,1,1,0,0,20191014,20200626
6.2019101920200624E16,1,1,1,1,1,0,0,20191019,20200626
6.2019102120200624E16,1,1,1,1,1,0,0,20191021,20200626
6.2019102220200624E16,1,1,1,1,1,0,0,20191022,20200626
6.2019102420200624E16,1,1,1,1,1,0,0,20191024,20200626
6.2019102820200624E16,1,1,1,1,1,0,0,20191028,20200626
6.2019103120200624E16,1,1,1,1,1,0,0,20191031,20200626
6.2019110620200624E16,1,1,1,1,1,0,0,20191106,20200626
6.2019111120200624E16,1,1,1,1,1,0,0,20191111,20200626
6.2019111820200624E16,1,1,1,1,1,0,0,20191118,20200626
6.2019112520200624E16,1,1,1,1,1,0,0,20191125,20200626
7.2019091120200624E16,0,0,0,0,0,0,1,20190911,20200626
7.2019091220191216E16,0,0,0,0,0,0,1,20190912,20191214
7.2019091220200624E16,0,0,0,0,0,0,1,20190912,20200626
7.2019092020200624E16,0,0,0,0,0,0,1,20190920,20200626
7.2019100820200624E16,0,0,0,0,0,0,1,20191008,20200626
7.2019101920200624E16,0,0,0,0,0,0,1,20191019,20200626
7.2019102020200624E16,0,0,0,0,0,0,1,20191020,20200626
7.2019102420200624E16,0,0,0,0,0,0,1,20191024,20200626
7.2019102820200624E16,0,0,0,0,0,0,1,20191028,20200626
7.2019112420191208E16,0,0,0,0,0,0,1,20191124,20191208
7.2019120120200328E16,0,0,0,0,0,0,1,20191201,20200329
7.2019121520200624E16,0,0,0,0,0,0,1,20191215,20200626
7.2019122120200328E16,0,0,0,0,0,0,1,20191221,20200329
7.2019122220200328E16,0,0,0,0,0,0,1,20191222,20200329
7.2019122320200328E16,0,0,0,0,0,0,1,20191223,20200329
9.2019091220200624E16,1,1,1,1,1,1,0,20190912,20200626
9.2019091320200624E16,1,1,1,1,1,1,0,20190913,20200626
9.2019091920200624E16,1,1,1,1,1,1,0,20190919,20200626
9.2019092020200624E16,1,1,1,1,1,1,0,20190920,20200626
9.2019092120200624E16,1,1,1,1,1,1,0,20190921,20200626
9.2019100820200624E16,1,1,1,1,1,1,0,20191008,20200626
9.2019101620200624E16,1,1,1,1,1,1,0,20191016,20200626
9.2019101920200624E16,1,1,1,1,1,1,0,20191019,20200626
9.2019102220200624E16,1,1,1,1,1,1,0,20191022,20200626
9.2019102820200624E16,1,1,1,1,1,1,0,20191028,20200626
9.2019111120200624E16,1,1,1,1,1,1,0,20191111,20200626
3.0201909122020064E17,0,0,0,0,0,0,0,20190912,20200626
3.5201909122020064E17,0,0,0,0,0,0,0,20190912,20200626
3.5201910192020064E17,0,0,0,0,0,0,0,20191019,20200626
3.9201909122020064E17,0,1,0,1,0,1,0,20190912,20200626
3.9201910022020064E17,0,1,0,1,0,1,0,20191002,20200626
4.0201909122020064E17,0,0,0,0,1,0,0,20190912,20200626
4.0201910282020064E17,0,0,0,0,1,0,0,20191028,20200626
4.1201909122020064E17,0,0,1,0,0,0,0,20190912,20200626
5.0201909122020064E17,0,0,0,1,0,0,0,20190912,20200626
5.0201910142020064E17,0,0,0,1,0,0,0,20191014,20200626
8.2201909122020058E17,0,0,0,0,0,1,0,20190912,20200626
8.2201909202020058E17,0,0,0,0,0,1,0,20190920,20200626
8.2201909212020058E17,0,0,0,0,0,1,0,20190921,20200626
8.2201910192020058E17,0,0,0,0,0,1,0,20191019,20200626
8.2201910222020058E17,0,0,0,0,0,1,0,20191022,20200626
8.2201910282020058E17,0,0,0,0,0,1,0,20191028,20200626
4.5120190912201912E18,0,0,0,0,0,1,0,20190912,20191214
4.5120190912202004E18,0,0,0,0,0,1,0,20190912,20200610
4.5120190912202004E18,0,0,0,0,0,1,0,20190912,20200626
4.5120190919202007E18,0,0,0,0,0,1,0,20190919,20200626
4.5120191008202004E18,0,0,0,0,0,1,0,20191008,20200626
4.5120191019202007E18,0,0,0,0,0,1,0,20191019,20200626
4.5120191028202004E18,0,0,0,0,0,1,0,20191028,20200626
4.5120191124201912E18,0,0,0,0,0,1,0,20191124,20191208
4.5120191215202007E18,0,0,0,0,0,1,0,20191215,20200626
4.5120191221202002E18,0,0,0,0,0,1,0,20191221,20200329
4.5120191222202004E18,0,0,0,0,0,1,0,20191222,20200329
5.5520190912202004E18,0,1,1,0,1,0,0,20190912,20200626
