 "name" , "fromName" , "toName" ,  ,  ,  ,
 "E540_0" , "RIFUGIO CIAMPEDÌE" , "GARDECIA" ,  ,  ,  ,
 "E540_1" , "GARDECIA" , "RIFUGIO CIAMPEDÌE" ,  ,  ,  ,
 "E543_0" , "PERA DE SOT" , "RIFUGIO CIAMPEDÌE" ,  ,  ,  ,
 "E543_1" , "RIFUGIO CIAMPEDÌE" , "PERA DE SOT" ,  ,  ,  ,
 "E544_0" , "VIGO DE FASSA/VICH" , "RIFUGIO CIAMPEDÌE" ,  ,  ,  ,
 "E544_1" , "RIFUGIO CIAMPEDÌE" , "VIGO DE FASSA/VICH" ,  ,  ,  ,
 "E545_0" , "RIFUGIO CIAMPEDÌE" , "RIFUGIO RODA DI VAEL" ,  ,  ,  ,
 "E545_1" , "RIFUGIO RODA DI VAEL" , "RIFUGIO CIAMPEDÌE" ,  ,  ,  ,
