 "name" , "fromName" , "toName" ,  ,  ,  ,
 "E549_0" , "RIFUGIO RODA DI VAEL" , "* RIFUGIO 'ALEARDO FRONZA' ALLE CORONELLE" ,  ,  ,  ,
