 "name" , "time" , "diff" ,  ,  ,  ,
 "O355_0" , "120" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O422B_0" , "120" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E235_1" , "125" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E357_1" , "130" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O157_1" , "130" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O514_1" , "135" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E357_0" , "140" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E350_1" , "150" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O514_0" , "150" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E350_0" , "160" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "O157_0" , "160" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Low" ,  ,  ,  ,
 "E207A_1" , "5" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E412A_0" , "5" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E412A_1" , "5" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E615B_0" , "5" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E615B_1" , "5" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "O266A_1" , "5" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E105B_0" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E105B_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E133A_0" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E133A_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E207A_0" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E310B_0" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E310B_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E385B_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E404A_0" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E404A_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E408B_0" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E408B_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E441A_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E509A_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E533A_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E603B_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
 "E627A_1" , "10" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#Medium" ,  ,  ,  ,
