 "name" , "act" ,  ,  ,
 "E337_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E337_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E340A_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E340A_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E349_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E349_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E349B_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E349B_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E363_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E363_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E364_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E364_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E366B_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E366B_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E373_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E373_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E373A_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E373A_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E375_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E375_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E376_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E376_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E382_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E382_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E383_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E383_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E387_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E387_1" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
 "E391_0" , "http://www.semanticweb.org/aleca/ontologies/2019/10/untitled-ontology-10#A_Walk" ,  ,  ,
