service_id,date,exception_type
0000000672019111820200610,20200411,2
0000000672019111820200610,20200413,2
0000000672019111820200610,20200414,2
0000000672019111820200610,20200425,2
0000000672019111820200610,20200501,2
0000000672019111820200610,20200502,2
0000000672019111820200610,20200601,2
0000000672019111820200610,20200602,2
0000000682019091220200610,20191207,2
0000000682019091220200610,20191223,2
0000000682019091220200610,20191224,2
0000000682019091220200610,20191225,2
0000000682019091220200610,20191226,2
0000000682019091220200610,20191227,2
0000000682019091220200610,20191228,2
0000000682019091220200610,20191230,2
0000000682019091220200610,20191231,2
0000000682019091220200610,20200101,2
0000000682019091220200610,20200102,2
0000000682019091220200610,20200103,2
0000000682019091220200610,20200104,2
0000000682019091220200610,20200106,2
0000000682019091220200610,20200222,2
0000000682019091220200610,20200224,2
0000000682019091220200610,20200225,2
0000000682019091220200610,20200409,2
0000000682019091220200610,20200410,2
0000000682019091220200610,20200411,2
0000000682019091220200610,20200413,2
0000000682019091220200610,20200414,2
0000000682019091220200610,20200425,2
0000000682019091220200610,20200501,2
0000000682019091220200610,20200502,2
0000000682019091220200610,20200601,2
0000000682019091220200610,20200602,2
0000000692019091220200610,20191207,2
0000000692019091220200610,20191223,2
0000000692019091220200610,20191224,2
0000000692019091220200610,20191225,2
0000000692019091220200610,20191226,2
0000000692019091220200610,20191227,2
0000000692019091220200610,20191228,2
0000000692019091220200610,20191230,2
0000000692019091220200610,20191231,2
0000000692019091220200610,20200101,2
0000000692019091220200610,20200102,2
0000000692019091220200610,20200103,2
0000000692019091220200610,20200104,2
0000000692019091220200610,20200106,2
0000000692019091220200610,20200222,2
0000000692019091220200610,20200224,2
0000000692019091220200610,20200225,2
0000000692019091220200610,20200409,2
0000000692019091220200610,20200410,2
0000000692019091220200610,20200411,2
0000000692019091220200610,20200413,2
0000000692019091220200610,20200414,2
0000000692019091220200610,20200425,2
0000000692019091220200610,20200501,2
0000000692019091220200610,20200502,2
0000000692019091220200610,20200601,2
0000000692019091220200610,20200602,2
0000000772019091220200610,20191207,2
0000000772019091220200610,20191223,2
0000000772019091220200610,20191224,2
0000000772019091220200610,20191225,2
0000000772019091220200610,20191226,2
0000000772019091220200610,20191227,2
0000000772019091220200610,20191228,2
0000000772019091220200610,20191230,2
0000000772019091220200610,20191231,2
0000000772019091220200610,20200101,2
0000000772019091220200610,20200102,2
0000000772019091220200610,20200103,2
0000000772019091220200610,20200104,2
0000000772019091220200610,20200106,2
0000000772019091220200610,20200222,2
0000000772019091220200610,20200224,2
0000000772019091220200610,20200225,2
0000000772019091220200610,20200409,2
0000000772019091220200610,20200410,2
0000000772019091220200610,20200411,2
0000000772019091220200610,20200413,2
0000000772019091220200610,20200414,2
0000000772019091220200610,20200425,2
0000000772019091220200610,20200501,2
0000000772019091220200610,20200502,2
0000000772019091220200610,20200601,2
0000000772019091220200610,20200602,2
0000000822019091220200610,20191225,2
0000000822019091220200610,20191226,2
0000000822019091220200610,20200101,2
0000000822019091220200610,20200106,2
0000000822019091220200610,20200413,2
0000000822019091220200610,20200425,2
0000000822019091220200610,20200501,2
0000000822019091220200610,20200602,2
0000001092019091220200610,20191115,2
0000001092019091220200610,20191116,2
0000001092019091220200610,20191118,2
0000001092019091220200610,20191119,2
0000001092019091220200610,20191120,2
0000001092019091220200610,20191121,2
0000001092019091220200610,20191122,2
0000001092019091220200610,20191123,2
0000001092019091220200610,20191125,2
0000001092019091220200610,20191126,2
0000001092019091220200610,20191127,2
0000001092019091220200610,20191128,2
0000001092019091220200610,20191129,2
0000001092019091220200610,20191130,2
0000001092019091220200610,20191202,2
0000001092019091220200610,20191203,2
0000001092019091220200610,20191204,2
0000001092019091220200610,20191205,2
0000001092019091220200610,20191206,2
0000001092019091220200610,20191209,2
0000001092019091220200610,20191210,2
0000001092019091220200610,20191211,2
0000001092019091220200610,20191212,2
0000001092019091220200610,20191213,2
0000001092019091220200610,20191214,2
0000001092019091220200610,20191216,2
0000001092019091220200610,20191217,2
0000001092019091220200610,20191218,2
0000001092019091220200610,20191219,2
0000001092019091220200610,20191220,2
0000001092019091220200610,20191221,2
0000001092019091220200610,20191225,2
0000001092019091220200610,20191226,2
